date_time,day_ahead_price,real_time_price,Unified_load_forecast_value(MW),Delivery_forecast_value(MW), sum_of_wind_and_light_forecast_value(MW),Wind_power_forecast_value(MW),Photovoltaic_forecast_value(MW),is_holiday,city_a_maximum_temperature,city_a_minimum_temperature,city_a_wind_direction,city_a_wind_level,city_a_weather,city_b_maximum_temperature,city_b_minimum_temperature,city_b_wind_direction,city_b_wind_level,city_b_weather,city_c_maximum_temperature,city_c_minimum_temperature,city_c_wind_direction,city_c_wind_level,city_c_weather,city_d_maximum_temperature,city_d_minimum_temperature,city_d_wind_direction,city_d_wind_level,city_d_weather,city_e_maximum_temperature,city_e_minimum_temperature,city_e_wind_direction,city_e_wind_level,city_e_weather,city_f_maximum_temperature,city_f_minimum_temperature,city_f_wind_direction,city_f_wind_level,city_f_weather,city_g_maximum_temperature,city_g_minimum_temperature,city_g_wind_direction,city_g_wind_level,city_g_weather,city_h_maximum_temperature,city_h_minimum_temperature,city_h_wind_direction,city_h_wind_level,city_h_weather,city_i_maximum_temperature,city_i_minimum_temperature,city_i_wind_direction,city_i_wind_level,city_i_weather,city_j_maximum_temperature,city_j_minimum_temperature,city_j_wind_direction,city_j_wind_level,city_j_weather,city_k_maximum_temperature,city_k_minimum_temperature,city_k_wind_direction,city_k_wind_level,city_k_weather
2021-12-09 00:00:00,293.0,332.0,29049,5923,7676,0.0,0.0,0.0,5.0,-12.0,2.0,2.0,3.0,13.0,0.0,1.0,2.0,2.0,6.0,-2.0,2.0,2.0,2.0,8.0,1.0,2.0,1.0,2.0,7.0,-3.0,1.0,1.0,2.0,6.0,-8.0,0.0,3.0,0.0,6.0,-4.0,2.0,2.0,2.0,8.0,-2.0,0.0,3.0,1.0,6.0,-4.0,1.0,1.0,2.0,10.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,2.0,1.0
2021-12-09 00:15:00,287.2,305.0,28972,5923,7884,7676.46,0.0,0.0,5.0,-12.0,2.0,2.0,3.0,13.0,0.0,1.0,2.0,2.0,6.0,-2.0,2.0,2.0,2.0,8.0,1.0,2.0,1.0,2.0,7.0,-3.0,1.0,1.0,2.0,6.0,-8.0,0.0,3.0,0.0,6.0,-4.0,2.0,2.0,2.0,8.0,-2.0,0.0,3.0,1.0,6.0,-4.0,1.0,1.0,2.0,10.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,2.0,1.0
2021-12-09 00:30:00,280.0,300.0,28938,5923,8090,7884.2998,0.0,0.0,5.0,-12.0,2.0,2.0,3.0,13.0,0.0,1.0,2.0,2.0,6.0,-2.0,2.0,2.0,2.0,8.0,1.0,2.0,1.0,2.0,7.0,-3.0,1.0,1.0,2.0,6.0,-8.0,0.0,3.0,0.0,6.0,-4.0,2.0,2.0,2.0,8.0,-2.0,0.0,3.0,1.0,6.0,-4.0,1.0,1.0,2.0,10.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,2.0,1.0
2021-12-09 00:45:00,280.0,300.0,28926,5923,8295,8090.0098,0.0,0.0,5.0,-12.0,2.0,2.0,3.0,13.0,0.0,1.0,2.0,2.0,6.0,-2.0,2.0,2.0,2.0,8.0,1.0,2.0,1.0,2.0,7.0,-3.0,1.0,1.0,2.0,6.0,-8.0,0.0,3.0,0.0,6.0,-4.0,2.0,2.0,2.0,8.0,-2.0,0.0,3.0,1.0,6.0,-4.0,1.0,1.0,2.0,10.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,2.0,1.0
2021-12-09 01:00:00,250.0,293.0,28848,5923,8489,8294.7998,0.0,0.0,5.0,-12.0,2.0,2.0,3.0,13.0,0.0,1.0,2.0,2.0,6.0,-2.0,2.0,2.0,2.0,8.0,1.0,2.0,1.0,2.0,7.0,-3.0,1.0,1.0,2.0,6.0,-8.0,0.0,3.0,0.0,6.0,-4.0,2.0,2.0,2.0,8.0,-2.0,0.0,3.0,1.0,6.0,-4.0,1.0,1.0,2.0,10.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,2.0,1.0
2021-12-09 01:15:00,205.0,280.0,28703,5923,8696,8488.7002,0.0,0.0,5.0,-12.0,2.0,2.0,3.0,13.0,0.0,1.0,2.0,2.0,6.0,-2.0,2.0,2.0,2.0,8.0,1.0,2.0,1.0,2.0,7.0,-3.0,1.0,1.0,2.0,6.0,-8.0,0.0,3.0,0.0,6.0,-4.0,2.0,2.0,2.0,8.0,-2.0,0.0,3.0,1.0,6.0,-4.0,1.0,1.0,2.0,10.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,2.0,1.0
2021-12-09 01:30:00,60.0,260.0,28564,5923,8869,8695.7305,0.0,0.0,5.0,-12.0,2.0,2.0,3.0,13.0,0.0,1.0,2.0,2.0,6.0,-2.0,2.0,2.0,2.0,8.0,1.0,2.0,1.0,2.0,7.0,-3.0,1.0,1.0,2.0,6.0,-8.0,0.0,3.0,0.0,6.0,-4.0,2.0,2.0,2.0,8.0,-2.0,0.0,3.0,1.0,6.0,-4.0,1.0,1.0,2.0,10.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,2.0,1.0
2021-12-09 01:45:00,0.0,260.0,28462,5923,9045,8868.9404,0.0,0.0,5.0,-12.0,2.0,2.0,3.0,13.0,0.0,1.0,2.0,2.0,6.0,-2.0,2.0,2.0,2.0,8.0,1.0,2.0,1.0,2.0,7.0,-3.0,1.0,1.0,2.0,6.0,-8.0,0.0,3.0,0.0,6.0,-4.0,2.0,2.0,2.0,8.0,-2.0,0.0,3.0,1.0,6.0,-4.0,1.0,1.0,2.0,10.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,2.0,1.0
2021-12-09 02:00:00,0.0,200.0,28410,5923,9236,9045.4902,0.0,0.0,5.0,-12.0,2.0,2.0,3.0,13.0,0.0,1.0,2.0,2.0,6.0,-2.0,2.0,2.0,2.0,8.0,1.0,2.0,1.0,2.0,7.0,-3.0,1.0,1.0,2.0,6.0,-8.0,0.0,3.0,0.0,6.0,-4.0,2.0,2.0,2.0,8.0,-2.0,0.0,3.0,1.0,6.0,-4.0,1.0,1.0,2.0,10.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,2.0,1.0
2021-12-09 02:15:00,0.0,150.0,28271,5923,9384,9236.1104,0.0,0.0,5.0,-12.0,2.0,2.0,3.0,13.0,0.0,1.0,2.0,2.0,6.0,-2.0,2.0,2.0,2.0,8.0,1.0,2.0,1.0,2.0,7.0,-3.0,1.0,1.0,2.0,6.0,-8.0,0.0,3.0,0.0,6.0,-4.0,2.0,2.0,2.0,8.0,-2.0,0.0,3.0,1.0,6.0,-4.0,1.0,1.0,2.0,10.0,1.0,3.0,1.0,2.0,3.0,-1.0,2.0,2.0,1.0
